GBP-IRR ratio,date,date(shamsi)
"355,420",3/1/2021,1399/12/11
"624,366",3/1/2023,1401/12/10
"199,220",3/10/2020,1398/12/20
"344,710",3/10/2021,1399/12/20
"340,370",3/10/2022,1400/12/19
"196,030",3/11/2020,1398/12/21
"535,250",3/11/2023,1401/12/20
"196,030",3/12/2020,1398/12/22
"345,320",3/12/2022,1400/12/21
"550,070",3/12/2023,1401/12/21
"346,030",3/13/2021,1399/12/23
"344,020",3/13/2022,1400/12/22
"572,390",3/13/2023,1401/12/22
"199,460",3/14/2020,1398/12/24
"346,530",3/14/2021,1399/12/24
"344,950",3/14/2022,1400/12/23
"564,810",3/14/2023,1401/12/23
"201,740",3/15/2020,1398/12/25
"348,150",3/15/2021,1399/12/25
"346,670",3/15/2022,1400/12/24
"561,680",3/15/2023,1401/12/24
"204,790",3/16/2020,1398/12/26
"348,550",3/16/2021,1399/12/26
"344,720",3/16/2022,1400/12/25
"565,659",3/16/2023,1401/12/25
"188,630",3/17/2020,1398/12/27
"352,990",3/17/2021,1399/12/27
"344,720",3/17/2022,1400/12/26
"188,630",3/18/2020,1398/12/28
"352,990",3/18/2021,1399/12/28
"664,000",3/18/2023,1401/12/27
"345,556",3/19/2022,1400/12/28
"661,000",3/19/2023,1401/12/28
"197,280",3/2/2020,1398/12/12
"357,110",3/2/2021,1399/12/12
"346,880",3/2/2022,1400/12/11
"618,750",3/2/2023,1401/12/11
"195,304",3/24/2020,1399/01/05
"195,848",3/25/2020,1399/01/06
"352,846",3/25/2021,1400/01/05
"655,100",3/25/2023,1402/01/05
"198,002",3/26/2020,1399/01/07
"347,120",3/26/2022,1401/01/06
"643,800",3/26/2023,1402/01/06
"356,480",3/27/2021,1400/01/07
"349,980",3/27/2022,1401/01/07
"657,000",3/27/2023,1402/01/07
"192,335",3/28/2020,1399/01/09
"356,480",3/28/2021,1400/01/08
"356,110",3/28/2022,1401/01/08
"657,800",3/28/2023,1402/01/08
"191,392",3/29/2020,1399/01/10
"357,260",3/29/2022,1401/01/09
"658,800",3/29/2023,1402/01/09
"198,390",3/3/2020,1398/12/13
"351,460",3/3/2021,1399/12/13
"346,880",3/3/2022,1400/12/12
"196,254",3/30/2020,1399/01/11
"358,400",3/30/2021,1400/01/10
"356,010",3/30/2022,1401/01/10
"645,100",3/30/2023,1402/01/10
"358,400",3/31/2021,1400/01/11
"356,010",3/31/2022,1401/01/11
"198,120",3/4/2020,1398/12/14
"351,460",3/4/2021,1399/12/14
"612,790",3/4/2023,1401/12/13
"198,120",3/5/2020,1398/12/15
"339,720",3/5/2022,1400/12/14
"614,400",3/5/2023,1401/12/14
"346,090",3/6/2021,1399/12/16
"341,810",3/6/2022,1400/12/15
"597,230",3/6/2023,1401/12/15
"201,110",3/7/2020,1398/12/17
"344,420",3/7/2021,1399/12/17
"344,010",3/7/2022,1400/12/16
"597,230",3/7/2023,1401/12/16
"345,580",3/8/2021,1399/12/18
"342,190",3/8/2022,1400/12/17
"201,370",3/9/2020,1398/12/19
"344,710",3/9/2021,1399/12/19
"340,370",3/9/2022,1400/12/18
"543,401",3/9/2023,1401/12/18
"342,360",4/10/2021,1400/01/21
"367,200",4/10/2022,1401/01/21
"631,690",4/10/2023,1402/01/21
"202,470",4/11/2020,1399/01/23
"346,650",4/11/2021,1400/01/22
"368,010",4/11/2022,1401/01/22
"635,033",4/11/2023,1402/01/22
"202,140",4/12/2020,1399/01/24
"346,970",4/12/2021,1400/01/23
"364,300",4/12/2022,1401/01/23
"202,300",4/13/2020,1399/01/25
"346,490",4/13/2021,1400/01/24
"366,070",4/13/2022,1401/01/24
"632,617",4/13/2023,1402/01/24
"200,020",4/14/2020,1399/01/26
"348,000",4/14/2021,1400/01/25
"366,070",4/14/2022,1401/01/25
"200,010",4/15/2020,1399/01/27
"348,000",4/15/2021,1400/01/26
"636,330",4/15/2023,1402/01/26
"200,010",4/16/2020,1399/01/28
